scenario,policy,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
referencia,priority,1002,156,78,71,78,7,118.46692044979933,218.96475412222114,179.9402735474031,94,0.94375,0.8651466885406313,65823.0,0.22664680000161752,131.3231061576476,0.8387096774193549,112.95833213309413,0.9803921568627451,328.7379785593463,0.02702702702702703,0.3392361111111111,0.9625,0.6729166666666667,0.9901041666666667,0.6600694444444445
referencia,priority,1003,148,80,73,68,7,144.57921275509958,219.29367684718676,200.33886565817986,85,0.9333333333333333,0.8664482859399224,78832.0,0.27199439995456487,169.0820557965826,0.7714285714285715,144.1069137073875,0.8813559322033898,333.98674651421084,0.018518518518518517,0.34618055555555555,0.9442708333333333,0.6451388888888889,0.99140625,0.6609375
referencia,priority,1004,142,86,78,56,8,124.23829007549985,190.79366793867706,148.69372032633402,74,0.9625,0.8617624372178933,49645.0,0.21667759999400005,115.59491010494513,0.896551724137931,67.79752624847805,1.0,300.8312652074739,0.2318840579710145,0.3338541666666667,0.971875,0.48333333333333334,0.98671875,0.6578125
referencia,priority,1005,154,81,73,73,8,117.91682561732875,217.84763870568057,187.3501849165149,94,0.90625,0.8628037207907192,70349.0,0.2609501000260934,152.314914546013,0.7352941176470589,109.10889157782681,1.0,330.51124341508984,0.07246376811594203,0.34878472222222223,0.9291666666666667,0.7805555555555556,0.9877604166666667,0.6585069444444445
referencia,priority,1006,168,79,71,89,8,111.48320486055724,229.28485567890752,209.2438022105109,106,0.9458333333333333,0.8625434218867869,84298.0,0.28546689997892827,198.91888935402727,0.6756756756756757,88.50545505434593,1.0,336.1718124700186,0.02531645569620253,0.33611111111111114,0.9666666666666667,0.5506944444444445,0.9875,0.6583333333333333
referencia,priority,1007,149,83,75,66,8,135.25434590599687,207.4681999826344,191.0454724150929,87,0.9291666666666667,0.8531720376687826,71949.0,0.2060295999981463,141.31450769490633,0.896551724137931,159.8454991601958,0.7692307692307693,298.6306114335911,0.12727272727272726,0.3342013888888889,0.9536458333333333,0.8381944444444445,0.978125,0.6520833333333333
referencia,priority,1008,158,83,76,75,7,134.42352464401029,228.8509797800868,189.49837626024666,99,0.9291666666666667,0.8635846997001412,71700.0,0.2577578999917023,141.2593953069945,0.9310344827586207,131.54097007133998,0.9137931034482759,344.12050812976275,0.04225352112676056,0.33819444444444446,0.9625,0.6618055555555555,0.9885416666666667,0.6590277777777778
referencia,priority,1009,171,82,74,89,8,135.23285530654886,225.38809040273918,196.1091147330024,102,0.9395833333333333,0.8667086184015541,79700.0,0.24923860002309084,139.54013365261096,0.8125,144.47526725828754,0.803030303030303,336.1741307251763,0.0410958904109589,0.33697916666666666,0.9723958333333333,0.7895833333333333,0.9916666666666667,0.6611111111111111
referencia,priority,1010,167,79,71,88,8,134.21794718124835,224.09270700782565,211.27137539558117,105,0.9229166666666667,0.8583783417882811,86099.0,0.22100469999713823,172.34032900715204,0.6486486486486487,146.79793748708596,0.8275862068965517,312.9529100387677,0.09722222222222222,0.3434027777777778,0.9364583333333333,0.7486111111111111,0.9833333333333333,0.6555555555555556
referencia,priority,1011,154,82,74,72,8,127.89258604886322,214.9893188506964,183.50728998465624,91,0.9354166666666667,0.8641053648345042,67865.0,0.2339664999744855,149.44743132664505,0.9285714285714286,118.76277953339675,0.9322033898305084,327.1167616923997,0.014925373134328358,0.3404513888888889,0.9567708333333333,0.8111111111111111,0.9890625,0.659375
referencia,priority,1012,146,85,77,61,8,127.61393855034679,193.79764916673273,154.77107906478864,82,0.90625,0.8628037727670701,54678.0,0.19625310000265017,121.82908433437353,0.7714285714285715,61.3637516571003,0.9767441860465116,314.58525743212635,0.23529411764705882,0.33524305555555556,0.9697916666666667,0.5020833333333333,0.9877604166666667,0.6585069444444445
referencia,priority,1013,155,82,74,73,8,136.9830457643827,216.21823531492302,186.22045918375827,91,0.925,0.8615020853870884,70979.0,0.2531019999878481,135.31377417835043,0.8125,138.24989280905754,0.896551724137931,325.61987564893104,0.06153846153846154,0.3388888888888889,0.95625,0.6215277777777778,0.9864583333333333,0.6576388888888889
referencia,priority,1014,165,85,77,80,8,120.50967797921933,195.02655071043242,179.0801432127256,91,0.9270833333333334,0.8638450507541237,72584.0,0.24559609999414533,135.52846575892784,0.7027027027027027,129.79600231131695,0.85,284.9568749332647,0.11764705882352941,0.3423611111111111,0.9505208333333334,0.6,0.9888020833333333,0.6592013888888889
referencia,priority,1015,151,79,71,72,8,110.00187385370265,216.17360873726926,178.27465910190148,87,0.9291666666666667,0.8695722242943605,62828.0,0.20802520000142977,145.1858152154617,0.8333333333333334,89.73908814383294,1.0,328.4817018076689,0.0821917808219178,0.34149305555555554,0.9645833333333333,0.4340277777777778,0.99453125,0.6630208333333333
referencia,priority,1016,181,79,71,102,8,117.55242437525925,226.08342386462164,190.8927559650573,111,0.9166666666666666,0.8620227964324204,78796.0,0.29793709999648854,131.98107823130326,0.7142857142857143,121.05431010687823,0.8225806451612904,342.81422327112443,0.03571428571428571,0.3434027777777778,0.94375,0.6409722222222223,0.9869791666666666,0.6579861111111112
referencia,priority,1017,138,92,84,46,8,143.88606250647766,192.96346897263294,132.72910903313198,74,0.7479166666666667,0.8672292678386098,41072.0,0.19624479999765754,69.55559647071304,1.0,74.7348213645503,1.0,303.0661375779877,0.3611111111111111,0.3609375,0.9015625,0.3819444444444444,0.9921875,0.6614583333333334
referencia,priority,1018,154,85,77,69,8,97.24514598559426,193.390088794211,162.40135534475414,79,0.9645833333333333,0.8628037458942607,57748.0,0.21383119997335598,118.7321910038153,0.8709677419354839,103.85300983017072,1.0,279.21426698910784,0.14473684210526316,0.3326388888888889,0.9776041666666667,0.8013888888888889,0.9877604166666667,0.6585069444444445
referencia,priority,1019,177,79,71,98,8,136.28404769621284,241.32810577001158,207.93420446097784,113,0.9458333333333333,0.8698325580092726,82866.0,0.30824919999577105,150.10927282833316,0.8333333333333334,141.76769028000746,0.7936507936507936,348.57657200954264,0.047619047619047616,0.3428819444444444,0.9609375,0.3458333333333333,0.9947916666666666,0.6631944444444444
referencia,priority,1020,171,81,73,90,8,111.09336714585295,215.88051945344912,188.2159338749437,99,0.9708333333333333,0.8700928902195201,77766.0,0.251742499996908,152.51201089670235,0.7,101.77497677613457,0.9615384615384616,323.0732860545912,0.0379746835443038,0.3355902777777778,0.9833333333333333,0.5555555555555556,0.9950520833333333,0.6633680555555556
referencia,priority,1021,172,83,75,89,8,114.80782420937629,209.47220136897693,183.17511114446438,96,0.94375,0.8685309070757391,76537.0,0.27559309999924153,148.1259909546549,0.6923076923076923,102.23958457891861,0.9137931034482759,324.2987877687361,0.04,0.3390625,0.9697916666666667,0.5472222222222223,0.9934895833333334,0.6623263888888888
referencia,priority,1022,171,87,79,84,8,127.04758225302243,221.11881588135373,171.9252977737342,100,0.5854166666666667,0.8643656740411966,63464.0,0.2912069000303745,38.18193344693628,1.0,161.6243909046658,0.8955223880597015,318.81074133251565,0.06097560975609756,0.39652777777777776,0.7890625,0.6048611111111111,0.9893229166666667,0.6595486111111111
referencia,priority,1023,146,80,72,66,8,119.92182329753209,219.14251702090098,182.8923689469705,88,0.9375,0.8630640716850101,64921.0,0.24427749996539205,157.056867962085,0.8387096774193549,91.35050471638077,0.9791666666666666,339.4211992812035,0.1044776119402985,0.3388888888888889,0.959375,0.6534722222222222,0.9880208333333333,0.6586805555555556
referencia,priority,1024,162,79,71,83,8,103.78326884971634,204.8121519801381,166.2559977110668,90,0.9395833333333333,0.859159201387732,60698.0,0.24928560003172606,111.31986346729364,0.8387096774193549,102.6187802227852,0.9803921568627451,306.1886882741779,0.0375,0.33576388888888886,0.9609375,0.6173611111111111,0.9841145833333333,0.6560763888888889
referencia,priority,1025,152,78,70,74,8,97.69985889909688,207.27764609727225,157.40585152069565,85,0.9645833333333333,0.8648863219961794,57610.0,0.20351430005393922,102.05426130756241,0.8181818181818182,89.41056481812336,0.9433962264150944,354.5401764890195,0.015151515151515152,0.33177083333333335,0.984375,0.69375,0.98984375,0.6598958333333333
referencia,priority,1026,178,78,70,100,8,157.69070448401757,236.5204022633009,236.41626471361803,111,0.9479166666666666,0.8633244320388191,108133.0,0.3385046999901533,213.68687785270814,0.5813953488372093,156.6338161847878,0.7846153846153846,324.7271114741414,0.02857142857142857,0.3347222222222222,0.9723958333333333,0.5006944444444444,0.98828125,0.6588541666666666
referencia,priority,1027,143,88,80,55,8,110.82270922561139,180.14671450315157,132.91169720836294,74,0.9604166666666667,0.8604608722860436,44239.0,0.19251409999560565,89.32654941308247,0.9642857142857143,67.12162349297701,1.0,292.35133492329595,0.21739130434782608,0.33368055555555554,0.9697916666666667,0.5284722222222222,0.9854166666666667,0.6569444444444444
referencia,priority,1028,161,81,73,80,8,111.7753451664918,204.41905570569676,189.53738298216803,95,0.9645833333333333,0.8635847497675313,74229.0,0.23999859998002648,176.89148735013688,0.75,93.19422822522068,0.9615384615384616,297.222939127408,0.0547945205479452,0.3338541666666667,0.9755208333333333,0.8631944444444445,0.9885416666666667,0.6590277777777778
referencia,priority,1029,146,82,74,64,8,115.81085595521662,198.39782281682417,174.77298367804772,82,0.9,0.8604608641236768,61059.0,0.22599170001922175,148.17980428592898,0.8620689655172413,108.04082865400628,1.0,287.5645727502102,0.1044776119402985,0.3446180555555556,0.9369791666666667,0.6326388888888889,0.9854166666666667,0.6569444444444444
referencia,tuned,1000,148,74,66,74,8,121.63699073683664,212.55855193648728,179.08790677004012,85,0.9270833333333334,0.8544735407963149,62424.0,0.2514060999965295,87.63533517605582,0.96,160.49993823522945,0.746031746031746,319.2714366396545,0.05,0.3375,0.9463541666666667,0.5409722222222222,0.9794270833333333,0.6529513888888889
